swing,session,channel,parametrisation,n_samples,n_samples_last_250ms,n_samples_last_100ms,converged,on_bound,bound_params,flat,flat_params,simplex_ok,boot_reps,boot_ok_frac,seed,pathological,b0,A,tc,wc,tr,wr,r,ci_b0,ci_A,ci_tc,ci_wc,ci_tr,ci_wr,ci_r,resid_robust_deg,resid_med_abs_deg,loss
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,2026-07-05_Mark-Liversedge_Wrist_02,truth,P3,64,22,3,1,0,,0,,1,100,0.96,20260946,0,-10.302,98.5573,-0.701618,0.0888958,-0.0304016,0.0119373,0.957108,nan,nan,nan,nan,0.0157848,0.00460698,0.551129,7.83267,6.79052,64.7901
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P7,180,37,14,1,0,,0,,1,100,1,20260947,0,-10.0321,96.1432,-0.683665,0.0775791,-0.0272466,0.0164745,0.768075,0.51286,2.78934,0.00759984,0.00701682,0.0135083,0.00492329,0.197845,5.06582,3.49169,22.7681
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P4,180,37,14,1,0,,0,,1,100,1,20260948,0,-10.302,95.8508,-0.701618,0.0888958,-0.0268617,0.0162706,0.764904,nan,1.82397,nan,nan,0.0112815,0.0043172,0.179638,5.36942,4.71907,25.1454
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P3,180,37,14,1,0,,0,,1,100,1,20260949,0,-10.302,98.5573,-0.701618,0.0888958,-0.0285957,0.0172376,0.770781,nan,nan,nan,nan,0.0115517,0.00401149,0.163617,5.87875,4.08329,26.6115
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,truth,P7,55,21,0,0,1,tr|r,0,,0,100,0,20260950,0,-34.0183,258.394,-0.167062,0.45606,0.02,0.0134967,1.5,25.3378,26.8804,0.218585,0.0396508,0.109999,0.0494967,0.661217,5.00276,3.32052,16.9974
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,truth,P4,55,21,0,0,0,,1,tr|r,1,100,0.99,20260951,0,-10.302,93.8143,-0.701618,0.0888958,0.000515008,0.00604561,0.77963,nan,2.82284,nan,nan,0.0166676,0.00136048,0.167659,10.5108,6.91601,59.9018
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05_Mark-Liversedge_Wrist_02,truth,P3,55,21,0,0,0,,1,tr|wr|r,1,100,1,20260952,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,10.0776,10.1861,67.0051
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P7,179,37,14,1,0,,0,,1,100,1,20260953,0,-9.52102,95.9931,-0.685696,0.0739716,-0.0357873,0.012103,0.671862,0.566339,2.43858,0.00528999,0.00699078,0.00689992,0.00259582,0.0916562,5.53216,3.79973,26.6557
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P4,179,37,14,1,0,,0,,1,100,1,20260954,0,-10.302,96.7441,-0.701618,0.0888958,-0.0357651,0.0120652,0.665693,nan,1.81589,nan,nan,0.00466194,0.00198413,0.0743357,4.48046,4.41878,29.1599
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P3,179,37,14,1,0,,0,,1,100,1,20260955,0,-10.302,98.5573,-0.701618,0.0888958,-0.0364346,0.0128426,0.678868,nan,nan,nan,nan,0.00561321,0.0021589,0.0888783,4.9263,4.71388,29.7874
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,truth,P7,50,13,0,0,1,b0,1,tr|r,1,100,0,20260956,0,-90,182.857,-0.849791,0.226202,-0.0556013,0.00525743,0.972339,23.0881,33.4914,0.0730544,0.108793,0.0914005,0.0489336,0.75,5.82662,4.5397,17.7608
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,truth,P4,50,13,0,0,0,,1,tr|r,1,100,1,20260957,0,-10.302,89.2681,-0.701618,0.0888958,-0.00900957,0.00606122,0.782861,nan,2.16455,nan,nan,0.00797866,0.0012242,0.0415432,8.05609,5.43654,24.7479
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05_Mark-Liversedge_Wrist_02,truth,P3,50,13,0,0,0,,1,tr|wr|r,1,100,0.99,20260958,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,7.15083,8.87355,52.5306
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P7,179,37,14,1,0,,0,,1,100,1,20260959,0,-10.7442,102.34,-0.678834,0.0817675,-0.0369165,0.0144961,0.799209,0.793629,3.05621,0.00637536,0.00865127,0.00762692,0.00297467,0.139725,4.24041,2.96875,20.2414
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P4,179,37,14,1,0,,0,,1,100,1,20260960,0,-10.302,100.267,-0.701618,0.0888958,-0.036195,0.0140128,0.797008,nan,1.53287,nan,nan,0.00879463,0.00330308,0.18774,4.76324,4.30453,23.8245
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P3,179,37,14,1,0,,0,,1,100,1,20260961,0,-10.302,98.5573,-0.701618,0.0888958,-0.0354016,0.013532,0.79186,nan,nan,nan,nan,0.00834993,0.00300718,0.152152,4.95009,3.95949,24.4062
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,truth,P7,63,13,0,0,1,tr,1,tr|wr|r,1,100,0.51,20260962,0,-62.2611,152.08,-0.772035,0.148027,0.0199581,0.00118955,1.12283,45.3547,49.8434,0.0887614,0.0546811,0.0757555,0.00604253,0.75,5.02251,3.6687,17.1908
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,truth,P4,63,13,0,0,0,,1,tr|r,1,100,1,20260963,0,-10.302,93.4617,-0.701618,0.0888958,-0.0163414,0.00781201,0.795542,nan,1.65957,nan,nan,0.0072713,0.00156488,0.0424868,6.62843,5.00726,24.6381
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05_Mark-Liversedge_Wrist_02,truth,P3,63,13,0,0,0,,1,tr|wr|r,1,100,1,20260964,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,6.23619,6.28241,33.5144
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P7,183,38,15,1,0,,0,,1,100,1,20260965,0,-13.7788,93.8038,-0.728721,0.0831836,-0.0337635,0.0114223,0.570206,1.95058,2.90866,0.0101331,0.0105625,0.00863432,0.00385494,0.119402,8.687,5.37178,31.9026
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P4,183,38,15,1,0,,0,,1,100,1,20260966,0,-10.302,92.3792,-0.701618,0.0888958,-0.0350412,0.0118941,0.60069,nan,2.6644,nan,nan,0.00912388,0.00344855,0.13727,9.36065,6.5661,35.9446
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,tracker,P3,183,38,15,1,0,,0,,1,100,0.98,20260967,0,-10.302,98.5573,-0.701618,0.0888958,-0.0380883,0.0140684,0.638547,nan,nan,nan,nan,0.0113655,0.00440083,0.158813,8.69151,7.06656,42.3265
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,truth,P7,60,13,0,0,1,b0,1,tr,1,100,0.13,20260968,0,-90,170.736,-0.856821,0.158907,0.0149977,0.014098,0.00450372,36.0721,40.7869,0.0686314,0.0417194,0.0814085,0.0222837,0.75,5.77154,3.89544,16.4145
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,truth,P4,60,13,0,0,0,,1,tr|wr|r,1,100,0.97,20260969,0,-10.302,86.7891,-0.701618,0.0888958,0.0181532,0.00642942,0.697643,nan,1.79378,nan,nan,0.034248,0.0027927,0.327337,5.64061,3.80074,17.8825
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05_Mark-Liversedge_Wrist_02,truth,P3,60,13,0,0,1,tr|wr,0,,1,100,0.33,20260970,0,-10.302,98.5573,-0.701618,0.0888958,-0.2,0.1,0.28909,nan,nan,nan,nan,0.0939719,0.0493967,0.313773,5.73722,7.12503,38.9425
2026-07-08_Mark-Liversedge_Wrist_01__swing_0001,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,149,25,2,0,0,,1,tr|r,1,100,0.82,20260971,0,4.70388,77.1851,-0.717852,0.0556141,0.002507,0.00525449,0.659627,0.8994,1.94986,0.00582616,0.00436053,0.0370842,0.00373579,0.425828,5.19316,3.77624,23.3653
2026-07-08_Mark-Liversedge_Wrist_01__swing_0001,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,149,25,2,0,0,,1,tr|r,1,100,0.96,20260972,0,-10.302,97.5599,-0.701618,0.0888958,-0.00868537,0.00523853,0.777103,nan,2.16193,nan,nan,0.0445973,0.0023744,0.19965,11.6826,9.53257,57.0694
2026-07-08_Mark-Liversedge_Wrist_01__swing_0001,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,149,25,2,0,0,,1,tr|wr|r,1,100,0.97,20260973,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0.0359455,0.002875,0.107021,12.2764,9.35438,57.3065
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,155,36,14,1,0,,0,,1,100,1,20260974,0,5.9897,79.4998,-0.694984,0.0583876,-0.0362192,0.0143759,1.02033,0.769868,1.56577,0.00515998,0.0045922,0.00882006,0.00327578,0.214093,4.92725,3.50392,15.7936
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,155,36,14,1,0,,0,,1,100,1,20260975,0,-10.302,100.02,-0.701618,0.0888958,-0.0372795,0.0161188,0.875967,nan,1.54474,nan,nan,0.0114581,0.00378316,0.205945,9.57889,6.9296,36.1885
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,155,36,14,1,0,,0,,1,100,1,20260976,0,-10.302,98.5573,-0.701618,0.0888958,-0.0369911,0.0154452,0.864195,nan,nan,nan,nan,0.0105045,0.00414409,0.212343,8.93603,7.62558,36.6787
2026-07-08_Mark-Liversedge_Wrist_01__swing_0003,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,136,22,0,0,0,,1,r,1,100,0.86,20260977,0,7.85964,74.6006,-0.710138,0.0561503,-0.0684097,0.0022015,0.842926,1.36137,2.25232,0.00532237,0.00511028,0.0545821,0.0163771,0.635344,4.76923,3.21759,18.6166
2026-07-08_Mark-Liversedge_Wrist_01__swing_0003,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,136,22,0,0,0,,1,tr|r,1,100,0.92,20260978,0,-10.302,98.7148,-0.701618,0.0888958,-0.000233176,0.00648458,0.728419,nan,3.6598,nan,nan,0.102401,0.0482245,0.298081,11.3757,10.1366,51.3559
2026-07-08_Mark-Liversedge_Wrist_01__swing_0003,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,136,22,0,0,0,,1,tr|wr|r,1,100,0.91,20260979,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0.0939719,0.0493967,0.357581,11.2669,10.2164,51.3618
2026-07-08_Mark-Liversedge_Wrist_01__swing_0004,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,122,23,0,0,0,,1,tr|wr|r,1,100,0.74,20260980,0,7.4016,78.0267,-0.674209,0.0473262,0.00889429,0.00441702,0.0613839,1.20679,2.43227,0.00577556,0.00405719,0.0646081,0.00941608,0.719221,7.35609,4.79817,28.1771
2026-07-08_Mark-Liversedge_Wrist_01__swing_0004,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,122,23,0,0,0,,1,tr|r,1,100,1,20260981,0,-10.302,98.8997,-0.701618,0.0888958,0.00703814,0.004975,0.726975,nan,2.20173,nan,nan,0.0200505,0.00143302,0.140797,9.44693,6.48331,38.5521
2026-07-08_Mark-Liversedge_Wrist_01__swing_0004,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,122,23,0,0,0,,1,tr|wr|r,1,100,1,20260982,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,9.3232,6.50209,38.5857
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,126,25,2,0,1,tr,1,tr|r,1,100,0.75,20260983,0,5.81135,77.8191,-0.67979,0.0482146,0.0199527,0.00721683,0.836779,3.16848,4.683,0.00991893,0.00639324,0.109824,0.0471813,0.747643,6.38827,4.07041,52.9312
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,126,25,2,0,0,,1,tr|r,1,100,0.96,20260984,0,-10.302,97.4729,-0.701618,0.0888958,-0.00825689,0.00476039,0.783181,nan,2.68825,nan,nan,0.0458002,0.0020689,0.188808,6.79149,4.75728,63.3087
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,126,25,2,0,0,,1,tr|wr|r,1,100,1,20260985,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,7.28977,4.96872,63.5899
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,142,37,14,1,0,,0,,1,100,0.98,20260986,0,6.21957,76.9929,-0.690559,0.052394,-0.0252313,0.0123629,0.790865,1.79044,2.43854,0.00828093,0.00578731,0.0126573,0.0045078,0.239766,5.71031,3.99265,36.2569
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,142,37,14,1,0,,0,,1,100,0.96,20260987,0,-10.302,97.4445,-0.701618,0.0888958,-0.0269547,0.0138463,0.675567,nan,2.39773,nan,nan,0.0104005,0.00417103,0.160597,8.12528,5.77748,49.6428
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,142,37,14,1,0,,0,,1,100,0.94,20260988,0,-10.302,98.5573,-0.701618,0.0888958,-0.0272713,0.0144003,0.685582,nan,nan,nan,nan,0.0271905,0.0103788,0.256439,8.73111,5.93507,49.9211
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,128,25,2,0,0,,1,tr|r,1,100,0.78,20260989,0,7.32933,78.8951,-0.680148,0.0550631,-0.0394336,0.00118854,0.965167,1.64554,2.42062,0.00588846,0.00521235,0.0353973,0.00324811,0.586014,4.89719,3.60053,21.9385
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,128,25,2,0,0,,1,tr|r,1,100,0.99,20260990,0,-10.302,99.6376,-0.701618,0.0888958,0.00568246,0.00521925,0.695464,nan,1.80513,nan,nan,0.0159409,0.00128434,0.129728,7.66972,5.63534,30.6207
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,128,25,2,0,0,,1,tr|r,1,100,1,20260991,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,7.39235,5.35072,30.9471
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,134,25,2,0,0,,1,tr|r,1,100,0.86,20260992,0,6.01385,80.1747,-0.680557,0.0447249,-0.00424889,0.00434409,0.612159,1.50754,2.36601,0.00506261,0.0037158,0.0234483,0.00298147,0.392813,4.95411,3.3819,24.8627
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,134,25,2,0,0,,1,tr|r,1,100,0.99,20260993,0,-10.302,99.8526,-0.701618,0.0888958,-0.0174706,0.00366105,0.872468,nan,1.78604,nan,nan,0.0136849,0.0014114,0.102248,9.22531,6.34432,40.897
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,134,25,2,0,0,,1,tr|r,1,100,1,20260994,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,8.97621,6.07028,41.3323
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,145,25,3,0,1,wr,1,tr|r,1,100,0.87,20260995,0,4.21758,81.1334,-0.683361,0.0565633,0.0195376,0.00103674,0.668016,0.747317,2.03482,0.00566311,0.00614588,0.0200644,0.00269626,0.293996,6.80657,4.62088,29.2577
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,145,25,3,0,0,,1,tr|r,1,100,0.99,20260996,0,-10.302,98.5068,-0.701618,0.0888958,0.0165698,0.00201053,0.718133,nan,1.80169,nan,nan,0.0155961,0.00197228,0.0908098,11.0144,7.12715,47.2012
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,145,25,3,0,0,,1,tr|r,1,100,0.89,20260997,0,-10.302,98.5573,-0.701618,0.0888958,0.0188737,0.00112634,0.667836,nan,nan,nan,nan,0.0154649,5.95884e-05,0.0867406,11.0352,7.17695,47.2018
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P7,129,24,2,0,1,tr,1,tr|r,1,100,0.75,20260998,0,7.89411,75.455,-0.669069,0.0462127,0.0198609,0.00650453,0.558854,1.26251,3.61973,0.00547466,0.00506107,0.0439856,0.0141738,0.597517,6.13487,4.15108,43.7289
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P4,129,24,2,0,0,,1,tr|r,1,100,1,20260999,0,-10.302,96.9604,-0.701618,0.0888958,-0.0138345,0.00284848,0.847792,nan,2.5022,nan,nan,0.0128595,0.00123382,0.124322,10.6428,7.17009,55.3966
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,2026-07-08_Mark-Liversedge_Wrist_01,tracker,P3,129,24,2,0,0,,1,tr|r,1,100,1,20261000,0,-10.302,98.5573,-0.701618,0.0888958,-0.0120562,0.00120658,0.841318,nan,nan,nan,nan,0,0,0,11.0893,6.91546,55.9478
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,153,36,14,1,0,,0,,1,100,1,20261001,0,5.7162,85.6479,-0.667341,0.0709355,-0.0398585,0.0169413,1.21383,0.891377,1.86705,0.00290182,0.00594387,0.00501448,0.00227338,0.139211,2.53928,1.85195,8.34822
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,153,36,14,1,0,,0,,1,100,1,20261002,0,-10.302,102.674,-0.701618,0.0888958,-0.039931,0.0174424,1.03061,nan,0.901802,nan,nan,0.00646216,0.00213641,0.131121,6.53638,4.26237,23.8693
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,153,36,14,1,0,,0,,1,100,1,20261003,0,-10.302,98.5573,-0.701618,0.0888958,-0.0393917,0.015459,1.00028,nan,nan,nan,nan,0.00610771,0.0022424,0.126561,5.89563,4.3047,27.8935
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,140,37,14,1,0,,0,,1,100,1,20261004,0,6.67732,85.059,-0.650881,0.0675816,-0.0464746,0.014011,0.845954,2.58585,3.54652,0.00673089,0.00912819,0.00487868,0.00211235,0.110349,4.50859,3.02092,12.9841
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,140,37,14,1,0,,0,,1,100,1,20261005,0,-10.302,101.794,-0.701618,0.0888958,-0.046363,0.0138879,0.703377,nan,1.15012,nan,nan,0.00533223,0.00285039,0.0862729,7.43984,5.34369,20.8289
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,140,37,14,1,0,,0,,1,100,1,20261006,0,-10.302,98.5573,-0.701618,0.0888958,-0.0448524,0.0129033,0.688767,nan,nan,nan,nan,0.00614857,0.00284647,0.101421,6.81231,5.16116,23.6146
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,137,37,14,1,0,,0,,1,100,1,20261007,0,0.872511,90.1334,-0.663394,0.0808487,-0.0356113,0.0154559,0.985536,3.9527,6.36066,0.00816592,0.0159785,0.00775525,0.00251227,0.183187,5.40944,3.8725,17.6454
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,137,37,14,1,0,,0,,1,100,1,20261008,0,-10.302,100.152,-0.701618,0.0888958,-0.0354691,0.0148891,0.865552,nan,1.23895,nan,nan,0.00790431,0.00286899,0.152394,7.32118,4.81693,21.8649
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,137,37,14,1,0,,0,,1,100,1,20261009,0,-10.302,98.5573,-0.701618,0.0888958,-0.0351768,0.0141846,0.852414,nan,nan,nan,nan,0.00685256,0.00235237,0.146352,6.5553,5.08025,22.5377
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,149,36,13,1,0,,0,,1,100,1,20261010,0,0.755306,89.3173,-0.666601,0.0708733,-0.0440833,0.0133231,0.865558,3.15629,4.00518,0.00941161,0.0118159,0.00710013,0.00260872,0.142919,4.96393,3.40109,19.7977
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,149,36,13,1,0,,0,,1,100,1,20261011,0,-10.302,100.385,-0.701618,0.0888958,-0.0440935,0.0132916,0.769503,nan,1.43487,nan,nan,0.00479251,0.00243292,0.10664,6.28937,4.37421,24.3453
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,149,36,13,1,0,,0,,1,100,0.99,20261012,0,-10.302,98.5573,-0.701618,0.0888958,-0.0437897,0.0124728,0.75282,nan,nan,nan,nan,0.0057345,0.00264833,0.123918,5.91167,4.65825,25.1883
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,139,38,15,1,0,,0,,1,100,1,20261013,0,9.54018,82.2676,-0.663393,0.0519851,-0.0440682,0.0139498,0.798613,1.93603,2.06627,0.00462732,0.00532545,0.00557013,0.00261326,0.107287,4.45135,2.97117,13.754
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,139,38,15,1,0,,0,,1,100,1,20261014,0,-10.302,104.543,-0.701618,0.0888958,-0.0449134,0.0151195,0.660921,nan,1.20081,nan,nan,0.00485864,0.00249374,0.0796918,7.26094,4.95592,22.4084
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,139,38,15,1,0,,0,,1,100,1,20261015,0,-10.302,98.5573,-0.701618,0.0888958,-0.0426199,0.0124086,0.618989,nan,nan,nan,nan,0.00632414,0.00261704,0.094037,6.53376,4.38317,31.4569
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P7,135,36,15,1,0,,0,,1,100,1,20261016,0,4.32249,88.3998,-0.645963,0.0636621,-0.0363467,0.0153738,1.03731,3.58414,4.4389,0.0064787,0.00979225,0.00533069,0.00219171,0.138221,4.01717,2.74346,13.9116
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P4,135,36,15,1,0,,0,,1,100,1,20261017,0,-10.302,102.025,-0.701618,0.0888958,-0.0361718,0.0148953,0.881816,nan,1.0886,nan,nan,0.0052685,0.00203484,0.116626,5.51735,3.3707,21.861
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,2026-07-09_Mark-Liversedge_Wrist_01,tracker,P3,135,36,15,1,0,,0,,1,100,1,20261018,0,-10.302,98.5573,-0.701618,0.0888958,-0.0353092,0.0135859,0.860448,nan,nan,nan,nan,0.0058129,0.00244799,0.118974,5.3571,3.75168,25.0242
