swing,n,median_deg,p90_deg,max_deg
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,60,0.006359548440499907,1.6066626199475744,11.521339975763851
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,40,0.0062092000863174235,0.01363651415577465,0.018503274690203853
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,59,0.006310210061315047,0.014909946973943988,0.030401688468742805
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,44,0.007083103622051112,0.014547611807611818,0.02030728424765016
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,68,0.008349014006157063,0.01889779195280994,0.031445312066807674
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,50,0.005869069396055693,0.01120244304885887,0.016642964812604077
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,59,0.004256382544724602,0.013843854321123674,0.02026761414788325
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,60,0.006086686154873178,0.012434878476065595,0.017366671619015506
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,70,0.0063994902341732995,0.014908914878407132,0.02514158366994934
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,55,0.0067219492518120205,0.01242582884225385,0.016142599585634798
